NOMBRE;Datos Fisc,;DIRECCION ;POBLACIO  CP;PROVINCIA;;
Xeraco Aso. UDP Jub y pen ;G-98124084;C/Consell s/n;Xeraco  46770;Valencia;;
Benicalap centro activ ayun. ;P-46000188 -I;C/GENERAL Llorens 33;Benicalap 46025;Valencia;;
 Lombai Asociación , UDP;G 97566996 ;C/ Valencia 21;Llombai 46195;Valencia;;
Arrancapins centro activ ayun.;P- 4600168 A;C/ Historiador Diago, 68;Valencia 46007;Valencia;;
Alpuente aso. UDP Jub y pen;Cif: G-9617261;C/ Valencia 21;Alpuente  46178;Valencia;;
 La Venta del Moro Aso. Jub y pen ;CIF: G - 9830279;C/ Victorio Montes , 42;La Venta del Moro 46310;Valencia;;
Museros Aso,jubi, y pens, UDP ;G-97898910;C/ Escuelas viejas 1 ;Museros 46136;Valencia;;
cruz cubierta aso. Jubi y pen;Cif: p-4600176-d;C/ tomas de villaroya 17;46017  Valencia; Valencia;;
Aso. La Fortaleza Onda;G-120 4608 ;C/ Lasazona ,2;Onda;Castellon;;
Villalonga Aso, Jubi y Pens;CIF: G-98080948;C/ Putxa del Fielato, n 3;46720 Villalonga ;Valencia;;
Puzol Aso. UDP Jubi y pen;G97455695;Paza pais valenciano25;46530 Puzol;Valencia;;
Aso,hogar Extremeño Ariege;NF: 484575568;9Rue de la Chapelle, 09300 ;St. Jean d´Aigues Vives ;Francia;;
Aso. Borriol jubi y pen San Bartolome;G-127 7707;Plaza L´Hereu,9 ;Borriol 12190 ;Castellon;Antonia,; 665 919 417 presi 
Aso. Sagunto AVAT jub y pen ;G-46446613;C/General Canin,22 bajo;Sagunto 46500;Valencia;;
Aso.Sollana UDP Jub y pen ;G-97844724;C/Doctor Vera Verdu,17;46430 Sollana;Valencia;;
Asociación pensionistas y jubilados chiva 2011;G-98359730;Av. San Juan Bautista,30;46370 Chiva ;Valencia;;
ASOCIACION DE JUBILADOS Y PENSIONISTAS DE LA YESA;G96073309;Av. Reino de Valencia, 5;46178 LA YESA;Valencia;;
Association miguel de cervantes;5,34574E+13;25, avenue de l empereur ;82000 montauban;Montauban;;
ASOCIACIÓN DE PENSIONISTAS Y JUBILADOS VICUR ;G12461307;San Felipe,1;12550 Almassora;Castellon;;
MAJORS DE L´OLLERIA;G98866411;C/ San Juan de la Ribera,6;46850 L´Olleria;Valencia;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;